"parents","n","labels","id"
"Bulgaria",36,"Documentary","Bulgaria  -  Documentary"
"Bulgaria",325,"Drama","Bulgaria  -  Drama"
"Bulgaria",20,"Family","Bulgaria  -  Family"
"Bulgaria",38,"Fantasy","Bulgaria  -  Fantasy"
"Bulgaria",10,"Game Show","Bulgaria  -  Game Show"
"Bulgaria",7,"History","Bulgaria  -  History"
"Bulgaria",31,"Horror","Bulgaria  -  Horror"
"Bulgaria",2,"Music","Bulgaria  -  Music"
"Bulgaria",3,"Musical","Bulgaria  -  Musical"
"Bulgaria",45,"Mystery","Bulgaria  -  Mystery"
"Bulgaria",14,"Reality TV","Bulgaria  -  Reality TV"
"Bulgaria",95,"Romance","Bulgaria  -  Romance"
"Bulgaria",38,"Sci Fi","Bulgaria  -  Sci Fi"
"Bulgaria",4,"Short","Bulgaria  -  Short"
"Bulgaria",10,"Sport","Bulgaria  -  Sport"
"Bulgaria",54,"Thriller","Bulgaria  -  Thriller"
"Bulgaria",3,"War","Bulgaria  -  War"
"Bulgaria",7,"Western","Bulgaria  -  Western"
"Canada",183,"Action","Canada  -  Action"
"Canada",98,"Adventure","Canada  -  Adventure"
"Canada",49,"Animation","Canada  -  Animation"
"Canada",16,"Biography","Canada  -  Biography"
"Canada",168,"Comedy","Canada  -  Comedy"
"Canada",155,"Crime","Canada  -  Crime"
"Canada",39,"Documentary","Canada  -  Documentary"
"Canada",296,"Drama","Canada  -  Drama"
"Canada",11,"Family","Canada  -  Family"
"Canada",28,"Fantasy","Canada  -  Fantasy"
"Canada",11,"Game Show","Canada  -  Game Show"
"Canada",7,"History","Canada  -  History"
"Canada",37,"Horror","Canada  -  Horror"
"Canada",3,"Musical","Canada  -  Musical"
"Canada",55,"Mystery","Canada  -  Mystery"
"Canada",26,"Reality TV","Canada  -  Reality TV"
"Canada",77,"Romance","Canada  -  Romance"
"Canada",33,"Sci Fi","Canada  -  Sci Fi"
"Canada",4,"Short","Canada  -  Short"
"Canada",9,"Sport","Canada  -  Sport"
"Canada",70,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Canada",5,"Western","Canada  -  Western"
"Chile",131,"Action","Chile  -  Action"
"Chile",115,"Adventure","Chile  -  Adventure"
