"country_name","genres","n"
"Cyprus","Biography",5
"Cyprus","Comedy",192
"Cyprus","Crime",129
"Cyprus","Documentary",30
"Cyprus","Drama",356
"Cyprus","Family",27
"Cyprus","Fantasy",28
"Cyprus","Game-Show",8
"Cyprus","History",6
"Cyprus","Horror",22
"Cyprus","Music",2
"Cyprus","Musical",3
"Cyprus","Mystery",49
"Cyprus","Reality-TV",12
"Cyprus","Romance",87
"Cyprus","Sci-Fi",47
"Cyprus","Short",7
"Cyprus","Sport",10
"Cyprus","Thriller",51
"Cyprus","War",5
"Cyprus","Western",5
"Czech Republic","Action",201
"Czech Republic","Adult",5
"Czech Republic","Adventure",151
"Czech Republic","Animation",79
"Czech Republic","Biography",14
"Czech Republic","Comedy",188
"Czech Republic","Crime",140
"Czech Republic","Documentary",43
"Czech Republic","Drama",302
"Czech Republic","Family",20
"Czech Republic","Fantasy",46
"Czech Republic","Game-Show",12
"Czech Republic","History",7
"Czech Republic","Horror",33
"Czech Republic","Music",2
"Czech Republic","Mystery",50
"Czech Republic","Reality-TV",16
"Czech Republic","Romance",66
"Czech Republic","Sci-Fi",14
"Czech Republic","Short",3
"Czech Republic","Sport",12
"Czech Republic","Thriller",44
"Czech Republic","War",3
"Czech Republic","Western",7
"Denmark","Action",192
"Denmark","Adventure",123
"Denmark","Animation",54
"Denmark","Biography",12
"Denmark","Comedy",182
"Denmark","Crime",152
"Denmark","Documentary",34
"Denmark","Drama",333
"Denmark","Family",17
"Denmark","Fantasy",38
"Denmark","Game-Show",11
"Denmark","History",11
"Denmark","Horror",23
"Denmark","Music",1
"Denmark","Musical",2
"Denmark","Mystery",53
"Denmark","Reality-TV",23
"Denmark","Romance",85
"Denmark","Sci-Fi",25
"Denmark","Short",4
"Denmark","Sport",12
"Denmark","Thriller",51
"Denmark","War",10
"Denmark","Western",10
"Dominican Republic","Action",175
"Dominican Republic","Adventure",108
"Dominican Republic","Animation",51
"Dominican Republic","Biography",3
"Dominican Republic","Comedy",160
"Dominican Republic","Crime",117
"Dominican Republic","Documentary",19
"Dominican Republic","Drama",294
"Dominican Republic","Family",20
"Dominican Republic","Fantasy",34
"Dominican Republic","Game-Show",2
"Dominican Republic","History",4
"Dominican Republic","Horror",32
"Dominican Republic","Music",34
"Dominican Republic","Musical",2
"Dominican Republic","Mystery",38
"Dominican Republic","Reality-TV",3
"Dominican Republic","Romance",83
"Dominican Republic","Sci-Fi",18
"Dominican Republic","Short",2
"Dominican Republic","Sport",8
"Dominican Republic","Thriller",69
"Dominican Republic","War",2
"Dominican Republic","Western",3
"Ecuador","Action",147
"Ecuador","Adventure",118
"Ecuador","Animation",67
"Ecuador","Biography",1
"Ecuador","Comedy",208
"Ecuador","Crime",86
"Ecuador","Documentary",16
"Ecuador","Drama",285
"Ecuador","Family",18
"Ecuador","Fantasy",24
"Ecuador","History",2
"Ecuador","Horror",29
"Ecuador","Music",33
"Ecuador","Musical",1
"Ecuador","Mystery",37
"Ecuador","Reality-TV",3
"Ecuador","Romance",101
"Ecuador","Sci-Fi",19
"Ecuador","Sport",7
"Ecuador","Thriller",61
"Ecuador","War",2
"Ecuador","Western",3
"Egypt","Action",202
"Egypt","Adventure",106
"Egypt","Animation",52
"Egypt","Biography",11
"Egypt","Comedy",186
"Egypt","Crime",118
"Egypt","Documentary",27
"Egypt","Drama",342
"Egypt","Family",16
"Egypt","Fantasy",32
"Egypt","Game-Show",4
"Egypt","History",8
"Egypt","Horror",32
"Egypt","Music",1
"Egypt","Musical",1
"Egypt","Mystery",41
"Egypt","Reality-TV",6
"Egypt","Romance",88
"Egypt","Sci-Fi",28
"Egypt","Short",19
"Egypt","Sport",3
"Egypt","Thriller",62
"Egypt","War",4
"Egypt","Western",8
"El Salvador","Action",138
"El Salvador","Adventure",104
"El Salvador","Animation",63
"El Salvador","Biography",1
"El Salvador","Comedy",193
"El Salvador","Crime",101
"El Salvador","Documentary",15
"El Salvador","Drama",304
"El Salvador","Family",14
"El Salvador","Fantasy",20
"El Salvador","History",1
"El Salvador","Horror",25
"El Salvador","Music",32
"El Salvador","Mystery",37
"El Salvador","Reality-TV",2
"El Salvador","Romance",109
"El Salvador","Sci-Fi",17
"El Salvador","Sport",8
"El Salvador","Thriller",59
"El Salvador","War",2
"El Salvador","Western",3
"Estonia","Action",193
"Estonia","Adventure",127
"Estonia","Animation",57
"Estonia","Biography",11
"Estonia","Comedy",204
"Estonia","Crime",131
"Estonia","Documentary",33
"Estonia","Drama",287
"Estonia","Family",18
