"label","n","parent","id"
"Cyprus",356,"Drama","Drama  -  Cyprus"
"Cyprus",27,"Family","Family  -  Cyprus"
"Cyprus",28,"Fantasy","Fantasy  -  Cyprus"
"Cyprus",8,"Game Show","Game Show  -  Cyprus"
"Cyprus",6,"History","History  -  Cyprus"
"Cyprus",22,"Horror","Horror  -  Cyprus"
"Cyprus",2,"Music","Music  -  Cyprus"
"Cyprus",3,"Musical","Musical  -  Cyprus"
"Cyprus",49,"Mystery","Mystery  -  Cyprus"
"Cyprus",12,"Reality TV","Reality TV  -  Cyprus"
"Cyprus",87,"Romance","Romance  -  Cyprus"
"Cyprus",47,"Sci Fi","Sci Fi  -  Cyprus"
"Cyprus",7,"Short","Short  -  Cyprus"
"Cyprus",10,"Sport","Sport  -  Cyprus"
"Cyprus",51,"Thriller","Thriller  -  Cyprus"
"Cyprus",5,"War","War  -  Cyprus"
"Cyprus",5,"Western","Western  -  Cyprus"
"Czech Republic",201,"Action","Action  -  Czech Republic"
"Czech Republic",5,"Adult","Adult  -  Czech Republic"
"Czech Republic",151,"Adventure","Adventure  -  Czech Republic"
"Czech Republic",79,"Animation","Animation  -  Czech Republic"
"Czech Republic",14,"Biography","Biography  -  Czech Republic"
"Czech Republic",188,"Comedy","Comedy  -  Czech Republic"
"Czech Republic",140,"Crime","Crime  -  Czech Republic"
"Czech Republic",43,"Documentary","Documentary  -  Czech Republic"
"Czech Republic",302,"Drama","Drama  -  Czech Republic"
"Czech Republic",20,"Family","Family  -  Czech Republic"
"Czech Republic",46,"Fantasy","Fantasy  -  Czech Republic"
"Czech Republic",12,"Game Show","Game Show  -  Czech Republic"
"Czech Republic",7,"History","History  -  Czech Republic"
"Czech Republic",33,"Horror","Horror  -  Czech Republic"
"Czech Republic",2,"Music","Music  -  Czech Republic"
"Czech Republic",50,"Mystery","Mystery  -  Czech Republic"
"Czech Republic",16,"Reality TV","Reality TV  -  Czech Republic"
"Czech Republic",66,"Romance","Romance  -  Czech Republic"
"Czech Republic",14,"Sci Fi","Sci Fi  -  Czech Republic"
"Czech Republic",3,"Short","Short  -  Czech Republic"
"Czech Republic",12,"Sport","Sport  -  Czech Republic"
"Czech Republic",44,"Thriller","Thriller  -  Czech Republic"
"Czech Republic",3,"War","War  -  Czech Republic"
"Czech Republic",7,"Western","Western  -  Czech Republic"
"Denmark",192,"Action","Action  -  Denmark"
"Denmark",123,"Adventure","Adventure  -  Denmark"
"Denmark",54,"Animation","Animation  -  Denmark"
"Denmark",12,"Biography","Biography  -  Denmark"
"Denmark",182,"Comedy","Comedy  -  Denmark"
"Denmark",152,"Crime","Crime  -  Denmark"
"Denmark",34,"Documentary","Documentary  -  Denmark"
"Denmark",333,"Drama","Drama  -  Denmark"
"Denmark",17,"Family","Family  -  Denmark"
"Denmark",38,"Fantasy","Fantasy  -  Denmark"
"Denmark",11,"Game Show","Game Show  -  Denmark"
"Denmark",11,"History","History  -  Denmark"
"Denmark",23,"Horror","Horror  -  Denmark"
"Denmark",1,"Music","Music  -  Denmark"
"Denmark",2,"Musical","Musical  -  Denmark"
"Denmark",53,"Mystery","Mystery  -  Denmark"
"Denmark",23,"Reality TV","Reality TV  -  Denmark"
"Denmark",85,"Romance","Romance  -  Denmark"
"Denmark",25,"Sci Fi","Sci Fi  -  Denmark"
"Denmark",4,"Short","Short  -  Denmark"
"Denmark",12,"Sport","Sport  -  Denmark"
"Denmark",51,"Thriller","Thriller  -  Denmark"
"Denmark",10,"War","War  -  Denmark"
"Denmark",10,"Western","Western  -  Denmark"
"Dominican Republic",175,"Action","Action  -  Dominican Republic"
"Dominican Republic",108,"Adventure","Adventure  -  Dominican Republic"
"Dominican Republic",51,"Animation","Animation  -  Dominican Republic"
"Dominican Republic",3,"Biography","Biography  -  Dominican Republic"
"Dominican Republic",160,"Comedy","Comedy  -  Dominican Republic"
"Dominican Republic",117,"Crime","Crime  -  Dominican Republic"
"Dominican Republic",19,"Documentary","Documentary  -  Dominican Republic"
"Dominican Republic",294,"Drama","Drama  -  Dominican Republic"
"Dominican Republic",20,"Family","Family  -  Dominican Republic"
"Dominican Republic",34,"Fantasy","Fantasy  -  Dominican Republic"
"Dominican Republic",2,"Game Show","Game Show  -  Dominican Republic"
"Dominican Republic",4,"History","History  -  Dominican Republic"
"Dominican Republic",32,"Horror","Horror  -  Dominican Republic"
"Dominican Republic",34,"Music","Music  -  Dominican Republic"
"Dominican Republic",2,"Musical","Musical  -  Dominican Republic"
"Dominican Republic",38,"Mystery","Mystery  -  Dominican Republic"
"Dominican Republic",3,"Reality TV","Reality TV  -  Dominican Republic"
"Dominican Republic",83,"Romance","Romance  -  Dominican Republic"
"Dominican Republic",18,"Sci Fi","Sci Fi  -  Dominican Republic"
"Dominican Republic",2,"Short","Short  -  Dominican Republic"
"Dominican Republic",8,"Sport","Sport  -  Dominican Republic"
"Dominican Republic",69,"Thriller","Thriller  -  Dominican Republic"
"Dominican Republic",2,"War","War  -  Dominican Republic"
"Dominican Republic",3,"Western","Western  -  Dominican Republic"
"Ecuador",147,"Action","Action  -  Ecuador"
"Ecuador",118,"Adventure","Adventure  -  Ecuador"
"Ecuador",67,"Animation","Animation  -  Ecuador"
"Ecuador",1,"Biography","Biography  -  Ecuador"
"Ecuador",208,"Comedy","Comedy  -  Ecuador"
"Ecuador",86,"Crime","Crime  -  Ecuador"
"Ecuador",16,"Documentary","Documentary  -  Ecuador"
"Ecuador",285,"Drama","Drama  -  Ecuador"
"Ecuador",18,"Family","Family  -  Ecuador"
"Ecuador",24,"Fantasy","Fantasy  -  Ecuador"
"Ecuador",2,"History","History  -  Ecuador"
"Ecuador",29,"Horror","Horror  -  Ecuador"
"Ecuador",33,"Music","Music  -  Ecuador"
"Ecuador",1,"Musical","Musical  -  Ecuador"
"Ecuador",37,"Mystery","Mystery  -  Ecuador"
