"id","n","label","parent"
"total  -  Animation  -  Croatia",49,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",206,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",142,"Croatia","total  -  Crime"
"total  -  Documentary  -  Croatia",43,"Croatia","total  -  Documentary"
"total  -  Drama  -  Croatia",309,"Croatia","total  -  Drama"
"total  -  Mystery  -  Croatia",46,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",89,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",59,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",203,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",133,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",46,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",192,"Cyprus","total  -  Comedy"
"total  -  Crime  -  Cyprus",129,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",356,"Cyprus","total  -  Drama"
"total  -  Mystery  -  Cyprus",49,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",87,"Cyprus","total  -  Romance"
"total  -  Sci Fi  -  Cyprus",47,"Cyprus","total  -  Sci Fi"
"total  -  Thriller  -  Cyprus",51,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",201,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",151,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",79,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",188,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",140,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",302,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",46,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",50,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",66,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",44,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",192,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",123,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",54,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",182,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",152,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",333,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",38,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",53,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",85,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",51,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",175,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",108,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",51,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",160,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",117,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",294,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",34,"Dominican Republic","total  -  Fantasy"
"total  -  Music  -  Dominican Republic",34,"Dominican Republic","total  -  Music"
"total  -  Mystery  -  Dominican Republic",38,"Dominican Republic","total  -  Mystery"
"total  -  Romance  -  Dominican Republic",83,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",69,"Dominican Republic","total  -  Thriller"
"total  -  Action  -  Ecuador",147,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",118,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",67,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",208,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",86,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",285,"Ecuador","total  -  Drama"
"total  -  Music  -  Ecuador",33,"Ecuador","total  -  Music"
"total  -  Mystery  -  Ecuador",37,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",101,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",61,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",202,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",106,"Egypt","total  -  Adventure"
"total  -  Animation  -  Egypt",52,"Egypt","total  -  Animation"
"total  -  Comedy  -  Egypt",186,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",118,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",342,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",32,"Egypt","total  -  Fantasy"
"total  -  Horror  -  Egypt",32,"Egypt","total  -  Horror"
"total  -  Mystery  -  Egypt",41,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",88,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",62,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",138,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",104,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",63,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",193,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",101,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",304,"El Salvador","total  -  Drama"
"total  -  Music  -  El Salvador",32,"El Salvador","total  -  Music"
"total  -  Mystery  -  El Salvador",37,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",109,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",59,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",193,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",127,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",57,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",204,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",131,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",287,"Estonia","total  -  Drama"
"total  -  Mystery  -  Estonia",56,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",74,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",62,"Estonia","total  -  Sci Fi"
"total  -  Thriller  -  Estonia",46,"Estonia","total  -  Thriller"
"total  -  Action  -  Finland",205,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",115,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",54,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",175,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",156,"Finland","total  -  Crime"
"total  -  Documentary  -  Finland",39,"Finland","total  -  Documentary"
"total  -  Drama  -  Finland",349,"Finland","total  -  Drama"
"total  -  Mystery  -  Finland",54,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",73,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",50,"Finland","total  -  Thriller"
"total  -  Action  -  France",211,"France","total  -  Action"
"total  -  Adventure  -  France",137,"France","total  -  Adventure"
"total  -  Comedy  -  France",157,"France","total  -  Comedy"
"total  -  Crime  -  France",163,"France","total  -  Crime"
"total  -  Drama  -  France",350,"France","total  -  Drama"
"total  -  Fantasy  -  France",55,"France","total  -  Fantasy"
"total  -  Mystery  -  France",47,"France","total  -  Mystery"
"total  -  Romance  -  France",72,"France","total  -  Romance"
"total  -  Sci Fi  -  France",49,"France","total  -  Sci Fi"
"total  -  Thriller  -  France",74,"France","total  -  Thriller"
"total  -  Action  -  Germany",214,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",152,"Germany","total  -  Adventure"
"total  -  Animation  -  Germany",48,"Germany","total  -  Animation"
"total  -  Comedy  -  Germany",185,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",161,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",329,"Germany","total  -  Drama"
"total  -  Fantasy  -  Germany",62,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",52,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",73,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",66,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",187,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",129,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",49,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",176,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",146,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",352,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",44,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",57,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",89,"Greece","total  -  Romance"
"total  -  Sci Fi  -  Greece",47,"Greece","total  -  Sci Fi"
"total  -  Thriller  -  Greece",44,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",222,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",103,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",43,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",163,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",159,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",354,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",48,"Guadeloupe","total  -  Fantasy"
"total  -  Mystery  -  Guadeloupe",43,"Guadeloupe","total  -  Mystery"
"total  -  Romance  -  Guadeloupe",78,"Guadeloupe","total  -  Romance"
"total  -  Thriller  -  Guadeloupe",68,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",124,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",101,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",60,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",204,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",94,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",314,"Guatemala","total  -  Drama"
"total  -  Music  -  Guatemala",34,"Guatemala","total  -  Music"
"total  -  Mystery  -  Guatemala",42,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",117,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",58,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",134,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",90,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",45,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",198,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",105,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",320,"Honduras","total  -  Drama"
"total  -  Music  -  Honduras",33,"Honduras","total  -  Music"
"total  -  Mystery  -  Honduras",43,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",124,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",63,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",243,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",114,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",154,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",113,"Hong Kong","total  -  Crime"
"total  -  Drama  -  Hong Kong",346,"Hong Kong","total  -  Drama"
"total  -  Fantasy  -  Hong Kong",40,"Hong Kong","total  -  Fantasy"
"total  -  Mystery  -  Hong Kong",71,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",117,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",59,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",66,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",197,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",125,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",63,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",194,"Hungary","total  -  Comedy"
"total  -  Crime  -  Hungary",159,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",334,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",41,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",51,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",96,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",52,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",183,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",120,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",49,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",185,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",144,"Iceland","total  -  Crime"
"total  -  Drama  -  Iceland",307,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",47,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",83,"Iceland","total  -  Romance"
"total  -  Sci Fi  -  Iceland",51,"Iceland","total  -  Sci Fi"
"total  -  Thriller  -  Iceland",54,"Iceland","total  -  Thriller"
"total  -  Action  -  India",268,"India","total  -  Action"
"total  -  Adventure  -  India",75,"India","total  -  Adventure"
"total  -  Comedy  -  India",184,"India","total  -  Comedy"
"total  -  Crime  -  India",212,"India","total  -  Crime"
"total  -  Drama  -  India",392,"India","total  -  Drama"
"total  -  Fantasy  -  India",42,"India","total  -  Fantasy"
"total  -  Horror  -  India",30,"India","total  -  Horror"
"total  -  Mystery  -  India",76,"India","total  -  Mystery"
"total  -  Romance  -  India",79,"India","total  -  Romance"
"total  -  Thriller  -  India",73,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",219,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",89,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",188,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",146,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",325,"Indonesia","total  -  Drama"
"total  -  Horror  -  Indonesia",42,"Indonesia","total  -  Horror"
"total  -  Mystery  -  Indonesia",72,"Indonesia","total  -  Mystery"
"total  -  Romance  -  Indonesia",101,"Indonesia","total  -  Romance"
"total  -  Sci Fi  -  Indonesia",41,"Indonesia","total  -  Sci Fi"
"total  -  Thriller  -  Indonesia",75,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",140,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",126,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",64,"Ireland","total  -  Animation"
"total  -  Comedy  -  Ireland",212,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",127,"Ireland","total  -  Crime"
"total  -  Documentary  -  Ireland",44,"Ireland","total  -  Documentary"
"total  -  Drama  -  Ireland",318,"Ireland","total  -  Drama"
"total  -  Mystery  -  Ireland",35,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",81,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",43,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",186,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",113,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",52,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",188,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",119,"Israel","total  -  Crime"
"total  -  Documentary  -  Israel",38,"Israel","total  -  Documentary"
