"id","n","label","parent"
"total  -  Sci Fi  -  South Korea",34,"South Korea","total  -  Sci Fi"
"total  -  Thriller  -  South Korea",81,"South Korea","total  -  Thriller"
"total  -  Action  -  Spain",174,"Spain","total  -  Action"
"total  -  Adventure  -  Spain",112,"Spain","total  -  Adventure"
"total  -  Comedy  -  Spain",176,"Spain","total  -  Comedy"
"total  -  Crime  -  Spain",145,"Spain","total  -  Crime"
"total  -  Drama  -  Spain",332,"Spain","total  -  Drama"
"total  -  Fantasy  -  Spain",33,"Spain","total  -  Fantasy"
"total  -  Horror  -  Spain",33,"Spain","total  -  Horror"
"total  -  Mystery  -  Spain",49,"Spain","total  -  Mystery"
"total  -  Romance  -  Spain",107,"Spain","total  -  Romance"
"total  -  Thriller  -  Spain",56,"Spain","total  -  Thriller"
"total  -  Action  -  Sri Lanka",192,"Sri Lanka","total  -  Action"
"total  -  Adventure  -  Sri Lanka",75,"Sri Lanka","total  -  Adventure"
"total  -  Comedy  -  Sri Lanka",188,"Sri Lanka","total  -  Comedy"
"total  -  Crime  -  Sri Lanka",148,"Sri Lanka","total  -  Crime"
"total  -  Drama  -  Sri Lanka",380,"Sri Lanka","total  -  Drama"
"total  -  Fantasy  -  Sri Lanka",30,"Sri Lanka","total  -  Fantasy"
"total  -  Mystery  -  Sri Lanka",76,"Sri Lanka","total  -  Mystery"
"total  -  Romance  -  Sri Lanka",104,"Sri Lanka","total  -  Romance"
"total  -  Sci Fi  -  Sri Lanka",38,"Sri Lanka","total  -  Sci Fi"
"total  -  Thriller  -  Sri Lanka",62,"Sri Lanka","total  -  Thriller"
"total  -  Action  -  Sweden",189,"Sweden","total  -  Action"
"total  -  Adventure  -  Sweden",125,"Sweden","total  -  Adventure"
"total  -  Animation  -  Sweden",51,"Sweden","total  -  Animation"
"total  -  Comedy  -  Sweden",163,"Sweden","total  -  Comedy"
"total  -  Crime  -  Sweden",143,"Sweden","total  -  Crime"
"total  -  Drama  -  Sweden",353,"Sweden","total  -  Drama"
"total  -  Fantasy  -  Sweden",41,"Sweden","total  -  Fantasy"
"total  -  Mystery  -  Sweden",53,"Sweden","total  -  Mystery"
"total  -  Romance  -  Sweden",78,"Sweden","total  -  Romance"
"total  -  Thriller  -  Sweden",52,"Sweden","total  -  Thriller"
"total  -  Action  -  Switzerland",193,"Switzerland","total  -  Action"
"total  -  Adventure  -  Switzerland",123,"Switzerland","total  -  Adventure"
"total  -  Comedy  -  Switzerland",183,"Switzerland","total  -  Comedy"
"total  -  Crime  -  Switzerland",168,"Switzerland","total  -  Crime"
"total  -  Drama  -  Switzerland",352,"Switzerland","total  -  Drama"
"total  -  Fantasy  -  Switzerland",53,"Switzerland","total  -  Fantasy"
"total  -  Mystery  -  Switzerland",57,"Switzerland","total  -  Mystery"
"total  -  Romance  -  Switzerland",89,"Switzerland","total  -  Romance"
"total  -  Sci Fi  -  Switzerland",36,"Switzerland","total  -  Sci Fi"
"total  -  Thriller  -  Switzerland",57,"Switzerland","total  -  Thriller"
"total  -  Action  -  Taiwan",204,"Taiwan","total  -  Action"
"total  -  Adventure  -  Taiwan",101,"Taiwan","total  -  Adventure"
"total  -  Comedy  -  Taiwan",165,"Taiwan","total  -  Comedy"
"total  -  Crime  -  Taiwan",106,"Taiwan","total  -  Crime"
"total  -  Drama  -  Taiwan",364,"Taiwan","total  -  Drama"
"total  -  Fantasy  -  Taiwan",35,"Taiwan","total  -  Fantasy"
"total  -  Mystery  -  Taiwan",77,"Taiwan","total  -  Mystery"
"total  -  Romance  -  Taiwan",151,"Taiwan","total  -  Romance"
"total  -  Sci Fi  -  Taiwan",46,"Taiwan","total  -  Sci Fi"
"total  -  Thriller  -  Taiwan",57,"Taiwan","total  -  Thriller"
"total  -  Action  -  Thailand",244,"Thailand","total  -  Action"
"total  -  Adventure  -  Thailand",145,"Thailand","total  -  Adventure"
"total  -  Comedy  -  Thailand",222,"Thailand","total  -  Comedy"
"total  -  Crime  -  Thailand",112,"Thailand","total  -  Crime"
"total  -  Drama  -  Thailand",269,"Thailand","total  -  Drama"
"total  -  Fantasy  -  Thailand",44,"Thailand","total  -  Fantasy"
"total  -  Mystery  -  Thailand",58,"Thailand","total  -  Mystery"
"total  -  Romance  -  Thailand",131,"Thailand","total  -  Romance"
"total  -  Sci Fi  -  Thailand",47,"Thailand","total  -  Sci Fi"
"total  -  Thriller  -  Thailand",77,"Thailand","total  -  Thriller"
"total  -  Action  -  Trinidad and Tobago",197,"Trinidad and Tobago","total  -  Action"
"total  -  Adventure  -  Trinidad and Tobago",108,"Trinidad and Tobago","total  -  Adventure"
"total  -  Animation  -  Trinidad and Tobago",56,"Trinidad and Tobago","total  -  Animation"
"total  -  Comedy  -  Trinidad and Tobago",162,"Trinidad and Tobago","total  -  Comedy"
"total  -  Crime  -  Trinidad and Tobago",145,"Trinidad and Tobago","total  -  Crime"
"total  -  Drama  -  Trinidad and Tobago",331,"Trinidad and Tobago","total  -  Drama"
"total  -  Fantasy  -  Trinidad and Tobago",35,"Trinidad and Tobago","total  -  Fantasy"
"total  -  Mystery  -  Trinidad and Tobago",41,"Trinidad and Tobago","total  -  Mystery"
"total  -  Romance  -  Trinidad and Tobago",90,"Trinidad and Tobago","total  -  Romance"
"total  -  Thriller  -  Trinidad and Tobago",82,"Trinidad and Tobago","total  -  Thriller"
"total  -  Action  -  Turkey",214,"Turkey","total  -  Action"
"total  -  Adventure  -  Turkey",115,"Turkey","total  -  Adventure"
"total  -  Comedy  -  Turkey",161,"Turkey","total  -  Comedy"
"total  -  Crime  -  Turkey",151,"Turkey","total  -  Crime"
"total  -  Drama  -  Turkey",366,"Turkey","total  -  Drama"
"total  -  Fantasy  -  Turkey",57,"Turkey","total  -  Fantasy"
"total  -  Horror  -  Turkey",44,"Turkey","total  -  Horror"
"total  -  Mystery  -  Turkey",49,"Turkey","total  -  Mystery"
"total  -  Romance  -  Turkey",80,"Turkey","total  -  Romance"
"total  -  Thriller  -  Turkey",84,"Turkey","total  -  Thriller"
"total  -  Action  -  Ukraine",227,"Ukraine","total  -  Action"
"total  -  Adventure  -  Ukraine",135,"Ukraine","total  -  Adventure"
"total  -  Animation  -  Ukraine",61,"Ukraine","total  -  Animation"
"total  -  Comedy  -  Ukraine",184,"Ukraine","total  -  Comedy"
"total  -  Crime  -  Ukraine",179,"Ukraine","total  -  Crime"
"total  -  Documentary  -  Ukraine",37,"Ukraine","total  -  Documentary"
"total  -  Drama  -  Ukraine",342,"Ukraine","total  -  Drama"
"total  -  Mystery  -  Ukraine",45,"Ukraine","total  -  Mystery"
"total  -  Romance  -  Ukraine",67,"Ukraine","total  -  Romance"
"total  -  Thriller  -  Ukraine",62,"Ukraine","total  -  Thriller"
"total  -  Action  -  United Arab Emirates",214,"United Arab Emirates","total  -  Action"
"total  -  Adventure  -  United Arab Emirates",120,"United Arab Emirates","total  -  Adventure"
"total  -  Animation  -  United Arab Emirates",35,"United Arab Emirates","total  -  Animation"
"total  -  Comedy  -  United Arab Emirates",169,"United Arab Emirates","total  -  Comedy"
"total  -  Crime  -  United Arab Emirates",137,"United Arab Emirates","total  -  Crime"
"total  -  Drama  -  United Arab Emirates",362,"United Arab Emirates","total  -  Drama"
"total  -  Fantasy  -  United Arab Emirates",41,"United Arab Emirates","total  -  Fantasy"
"total  -  Mystery  -  United Arab Emirates",47,"United Arab Emirates","total  -  Mystery"
"total  -  Romance  -  United Arab Emirates",108,"United Arab Emirates","total  -  Romance"
"total  -  Thriller  -  United Arab Emirates",64,"United Arab Emirates","total  -  Thriller"
"total  -  Action  -  United Kingdom",177,"United Kingdom","total  -  Action"
"total  -  Adventure  -  United Kingdom",135,"United Kingdom","total  -  Adventure"
"total  -  Animation  -  United Kingdom",62,"United Kingdom","total  -  Animation"
"total  -  Comedy  -  United Kingdom",214,"United Kingdom","total  -  Comedy"
"total  -  Crime  -  United Kingdom",113,"United Kingdom","total  -  Crime"
"total  -  Documentary  -  United Kingdom",45,"United Kingdom","total  -  Documentary"
"total  -  Drama  -  United Kingdom",299,"United Kingdom","total  -  Drama"
"total  -  Romance  -  United Kingdom",77,"United Kingdom","total  -  Romance"
"total  -  Sci Fi  -  United Kingdom",37,"United Kingdom","total  -  Sci Fi"
"total  -  Thriller  -  United Kingdom",47,"United Kingdom","total  -  Thriller"
"total  -  Action  -  United States",151,"United States","total  -  Action"
"total  -  Adventure  -  United States",99,"United States","total  -  Adventure"
"total  -  Animation  -  United States",42,"United States","total  -  Animation"
"total  -  Comedy  -  United States",159,"United States","total  -  Comedy"
"total  -  Crime  -  United States",111,"United States","total  -  Crime"
"total  -  Documentary  -  United States",40,"United States","total  -  Documentary"
"total  -  Drama  -  United States",298,"United States","total  -  Drama"
"total  -  Mystery  -  United States",51,"United States","total  -  Mystery"
"total  -  Romance  -  United States",64,"United States","total  -  Romance"
"total  -  Thriller  -  United States",46,"United States","total  -  Thriller"
"total  -  Action  -  Uruguay",138,"Uruguay","total  -  Action"
"total  -  Adventure  -  Uruguay",103,"Uruguay","total  -  Adventure"
"total  -  Animation  -  Uruguay",46,"Uruguay","total  -  Animation"
"total  -  Comedy  -  Uruguay",161,"Uruguay","total  -  Comedy"
"total  -  Crime  -  Uruguay",150,"Uruguay","total  -  Crime"
"total  -  Drama  -  Uruguay",387,"Uruguay","total  -  Drama"
"total  -  Music  -  Uruguay",37,"Uruguay","total  -  Music"
"total  -  Mystery  -  Uruguay",60,"Uruguay","total  -  Mystery"
"total  -  Romance  -  Uruguay",86,"Uruguay","total  -  Romance"
"total  -  Thriller  -  Uruguay",79,"Uruguay","total  -  Thriller"
"total  -  Action  -  Venezuela",139,"Venezuela","total  -  Action"
"total  -  Adventure  -  Venezuela",73,"Venezuela","total  -  Adventure"
"total  -  Animation  -  Venezuela",36,"Venezuela","total  -  Animation"
"total  -  Comedy  -  Venezuela",180,"Venezuela","total  -  Comedy"
"total  -  Crime  -  Venezuela",120,"Venezuela","total  -  Crime"
"total  -  Drama  -  Venezuela",341,"Venezuela","total  -  Drama"
"total  -  Music  -  Venezuela",30,"Venezuela","total  -  Music"
"total  -  Mystery  -  Venezuela",43,"Venezuela","total  -  Mystery"
"total  -  Romance  -  Venezuela",119,"Venezuela","total  -  Romance"
"total  -  Thriller  -  Venezuela",75,"Venezuela","total  -  Thriller"
"total  -  Action  -  Vietnam",259,"Vietnam","total  -  Action"
"total  -  Adventure  -  Vietnam",139,"Vietnam","total  -  Adventure"
"total  -  Comedy  -  Vietnam",254,"Vietnam","total  -  Comedy"
"total  -  Crime  -  Vietnam",120,"Vietnam","total  -  Crime"
"total  -  Drama  -  Vietnam",325,"Vietnam","total  -  Drama"
"total  -  Fantasy  -  Vietnam",44,"Vietnam","total  -  Fantasy"
"total  -  Mystery  -  Vietnam",53,"Vietnam","total  -  Mystery"
"total  -  Romance  -  Vietnam",121,"Vietnam","total  -  Romance"
"total  -  Sci Fi  -  Vietnam",49,"Vietnam","total  -  Sci Fi"
"total  -  Thriller  -  Vietnam",76,"Vietnam","total  -  Thriller"
